anime_id,title,title_english
3457,Vampire Knight,Vampire Knight
38668,Dorohedoro,
39533,Given,given
47790,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat
48895,Overlord IV,Overlord IV
9513,Beelzebub,Beelzebub
39565,Boku no Hero Academia the Movie 2: Heroes:Rising,My Hero Academia: Heroes Rising
42923,SK∞,SK8 the Infinity
35203,Isekai wa Smartphone to Tomo ni.,In Another World With My Smartphone
53393,Tengoku Daimakyou,Heavenly Delusion
45613,Kawaii dake ja Nai Shikimori-san,Shikimori's Not Just a Cutie
14075,Zetsuen no Tempest,Blast of Tempest
48580,Vanitas no Karte,The Case Study of Vanitas
25183,Gangsta.,Gangsta.
31580,Ajin,Ajin: Demi-Human
2759,Evangelion Movie 1: Jo,Evangelion: 1.0 You Are (Not) Alone
15315,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,"Problem Children Are Coming from Another World, Aren't They?"
31339,Drifters,Drifters
38656,Darwin's Game,Darwin's Game
9969,Gintama',Gintama Season 2
39247,Kobayashi-san Chi no Maid Dragon S,Miss Kobayashi's Dragon Maid S
1943,Paprika,Paprika
48661,JoJo no Kimyou na Bouken Part 6: Stone Ocean,JoJo's Bizarre Adventure: Stone Ocean
46095,Vivy: Fluorite Eye's Song,Vivy -Fluorite Eye's Song-
31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",GATE Part 2
8425,Gosick,
7593,Kiss x Sis (TV),
6707,Kuroshitsuji II,Black Butler II
38790,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense."
48549,Dr. Stone: New World,
31404,Netoge no Yome wa Onnanoko ja Nai to Omotta?,And you thought there is never a girl online?
34403,Hajimete no Gal,My First Girlfriend is a Gal
5630,Higashi no Eden,Eden of The East
34822,Tsuki ga Kirei,Tsukigakirei
6594,Katanagatari,Katanagatari
50709,Lycoris Recoil,Lycoris Recoil
3784,Evangelion Movie 2: Ha,Evangelion: 2.0 You Can (Not) Advance
14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,Oreshura
25397,Absolute Duo,Absolute Duo
15689,Nekomonogatari: Kuro,Nekomonogatari Black
4081,Natsume Yuujinchou,Natsume's Book of Friends
1604,Katekyou Hitman Reborn!,Reborn!
40902,Shokugeki no Souma: Gou no Sara,Food Wars! The Fifth Plate
31442,Musaigen no Phantom World,Myriad Colors Phantom World
40417,Fruits Basket 2nd Season,Fruits Basket 2nd Season
9260,Kizumonogatari I: Tekketsu-hen,Kizumonogatari Part 1: Iron-Blooded
52701,Dungeon Meshi,Delicious in Dungeon
1519,Black Lagoon: The Second Barrage,Black Lagoon: The Second Barrage
27631,God Eater,God Eater
48556,Takt Op. Destiny,Takt Op. Destiny
55888,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Season 2 Part 2
120,Fruits Basket,Fruits Basket
4382,Suzumiya Haruhi no Yuuutsu (2009),The Melancholy of Haruhi Suzumiya (2009)
39196,Mairimashita! Iruma-kun,Welcome to Demon School! Iruma-kun
25781,Shingeki no Kyojin: Kuinaki Sentaku,Attack on Titan: No Regrets
7088,Ichiban Ushiro no Daimaou,Demon King Daimao
42938,Fruits Basket: The Final,Fruits Basket: The Final Season
14967,Boku wa Tomodachi ga Sukunai Next,Haganai: I don't have many friends NEXT
35972,Fairy Tail: Final Series,Fairy Tail Final Series
355,Shakugan no Shana,Shakugan no Shana: Season I
34497,Death March kara Hajimaru Isekai Kyousoukyoku,Death March to the Parallel World Rhapsody
34382,Citrus,Citrus
34281,High School DxD Hero,High School DxD Hero
43523,Tsuki ga Michibiku Isekai Douchuu,Tsukimichi -Moonlit Fantasy-
50631,"Komi-san wa, Comyushou desu. 2nd Season",Komi Can't Communicate Season 2
48483,Mieruko-chan,
9656,Kimi ni Todoke 2nd Season,Kimi ni Todoke: From Me to You Season 2
36296,Hinamatsuri,Hinamatsuri
35839,Sora yori mo Tooi Basho,A Place Further Than The Universe
32105,Sousei no Onmyouji,Twin Star Exorcists
5681,Summer Wars,Summer Wars
49458,Kono Subarashii Sekai ni Shukufuku wo! 3,KonoSuba: God's Blessing on This Wonderful World! 3
36563,Megalo Box,Megalobox
53126,Yamada-kun to Lv999 no Koi wo Suru,My Love Story with Yamada-kun at Lv999
8861,Yosuga no Sora,"Yosuga no Sora: In Solitude, Where We Are Least Alone"
34561,Re:Creators,Re:CREATORS
34798,Yuru Camp△,Laid-Back Camp
39463,Gleipnir,Gleipnir
60543,Dandadan 2nd Season,Dan Da Dan Season 2
22729,Aldnoah.Zero,Aldnoah.Zero
41084,Made in Abyss: Retsujitsu no Ougonkyou,Made in Abyss: The Golden City of the Scorching Sun
513,Tenkuu no Shiro Laputa,Castle in the Sky
36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Made in Abyss: Dawn of the Deep Soul
39017,Kyokou Suiri,In/Spectre
37171,Asobi Asobase,Asobi Asobase: Workshop of Fun
37976,Zombieland Saga,Zombie Land Saga
34881,Aho Girl,AHO-GIRL
